item_id,date,month,year,location,category,item,sales,price,discount,total_sales_value,profit_margin,advertising_spend
923713,2023-11-20,11,2023,Bangalore,Sports and outdoor,Fitness equipment,1272,4017,20,4087699,3696,8592
100796,2023-06-09,6,2023,Delhi,Toys and games,Games,341,3965,7,1257420,1920,9881
451769,2023-07-27,7,2023,Hyderabad,Grocery,Fruits and vegetables,1238,474,12,516394,230,849
639741,2022-08-25,8,2022,Kolkata,Beauty and personal care,Men's grooming,2088,1528,10,2871417,636,4730
923713,2023-08-26,8,2023,Kolkata,Sports and outdoor,Fitness equipment,2343,4469,29,7434315,1066,2560
871502,2022-12-29,12,2022,Mumbai,Clothing,Sports clothing,2335,490,7,1064059,61,5092
758146,2022-08-03,8,2022,Chennai,Sports and outdoor,Cycling,23,2620,7,56041,1429,6111
241400,2022-12-17,12,2022,Ahmedabad,Other,Gifts,673,244,4,157643,104,3145
8854,2023-03-24,3,2023,Pune,Grocery,Meat and seafood,1524,4986,9,6914784,3144,7503
323539,2021-02-22,2,2021,Mumbai,Books and stationery,Stationery,281,4934,27,1012111,4303,1431
870504,2021-11-25,11,2021,Pune,Electronics,Home appliances,1454,3181,20,3700139,927,6476
923616,2021-05-29,5,2021,Ahmedabad,Clothing,Women's clothing,2459,4167,10,9221987,530,5141
977511,2021-11-27,11,2021,Hyderabad,Home and kitchen,Cleaning supplies,330,3196,23,812103,206,8043
667236,2022-03-11,3,2022,Bangalore,Electronics,Gaming,817,2380,26,1438900,510,4203
241126,2021-12-19,12,2021,Mumbai,Grocery,Snacks and sweets,2854,3188,25,6823914,870,7648
527637,2022-02-26,2,2022,Mumbai,Clothing,Shoes,1167,4157,11,4317584,1547,4941
137626,2022-07-25,7,2022,Ahmedabad,Clothing,Accessories,1566,4977,19,6313125,2166,1550
771439,2021-12-28,12,2021,Bangalore,Dairy,Ice cream,1251,2170,19,2198882,1625,7138
288342,2021-12-22,12,2021,Kolkata,Toys and games,Crafts,525,4855,24,1937145,1254,6041
118120,2023-07-12,7,2023,Ahmedabad,Grocery,Canned and packaged food,2368,1166,24,2098426,979,9326
712704,2021-10-17,10,2021,Bangalore,Other,Musical instruments,2844,4000,15,9669600,1876,9499
288342,2022-03-17,3,2022,Pune,Toys and games,Crafts,2434,2124,0,5169816,1626,9984
118120,2023-11-29,11,2023,Pune,Grocery,Canned and packaged food,1530,134,27,149664,102,9467
957346,2023-05-31,5,2023,Delhi,Automotive,Oils and fluids,1684,3352,5,5362529,1094,142
317073,2021-11-06,11,2021,Kolkata,Electronics,Watches,1010,4506,28,3276763,487,134
339067,2023-04-13,4,2023,Mumbai,Dairy,Cheese,1311,747,10,881385,656,8275
288342,2022-04-02,4,2022,Ahmedabad,Toys and games,Crafts,2158,3318,9,6515822,2861,2899
288342,2023-08-15,8,2023,Pune,Toys and games,Crafts,2965,1989,18,4835855,918,2038
923713,2023-09-13,9,2023,Ahmedabad,Sports and outdoor,Fitness equipment,208,4981,5,984245,3323,301
871502,2023-05-19,5,2023,Bangalore,Clothing,Sports clothing,1941,587,4,1093792,397,2178
81516,2021-10-11,10,2021,Delhi,Dairy,Butter,2222,364,11,719839,145,9406
241400,2023-08-03,8,2023,Hyderabad,Other,Gifts,910,509,15,393711,443,3789
