Item_Identifier,Item_Type,Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Sales,Outlet_Identifier,Outlet_Type,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type
d7dec3bc-55a8-4f8f-a8dd-45b023b17647,Electronics,6.8,Other,0.686926,431.48,6742,acb85838-f6f7-4156-b78e-3944be66a1e7,Electronics Store,2000,Large,Rural
03eb8d3d-cca0-4a74-9b57-58e76af0c29a,Appliances,7.14,Other,0.575627,360.72,2347,21951ba1-4eeb-4103-a1a1-d0f008835de5,Supermarket,2008,Medium,Urban
2fdce377-3022-46c5-83b0-0014b3c35a4b,Food,2.1,Low Fat,0.917134,494.19,4135,0d6a7148-98d6-4ce1-a1d7-59236fddb6b8,Electronics Store,1996,Medium,Rural
b1ae3356-9b3a-4d31-acb2-727396987f31,Appliances,7.14,Other,0.523211,63.56,8932,f142c4ad-c47d-49a5-abaa-e86b26f302da,Fashion Store,2006,Small,Urban
a1f04156-0437-40c1-af49-fb817fe237fe,Appliances,7.14,Other,0.24094,59.28,8056,8e585091-2d53-4dd9-a138-7b011b4f1e48,Fashion Store,2018,Medium,Rural
5d4163ca-ef29-4964-88ff-64f9a6d23873,Clothing,0.32,Other,0.870888,466.4,8473,b9596adc-60e0-4e52-9143-b49c39727dfd,Electronics Store,2017,Small,Rural
c8580075-bff7-40f4-bb50-fda41f067d54,Food,2.1,Regular,0.705336,499.33,5334,b6015131-1c42-4620-beeb-56e660b2e9c2,Electronics Store,2004,Large,Rural
68f3ce48-ba8b-4df3-8611-b1bf799b53d3,Appliances,7.14,Other,0.208673,71.95,5752,41691e42-7c80-422a-9893-089a04449d39,Fashion Store,1995,Medium,Rural
09b99bcb-9921-4cdd-9b2b-9e280137847f,Food,2.1,Low Fat,0.237115,272.61,6181,15998534-f517-4681-96ad-6097f5a44300,Online,1992,Medium,Rural
e8777cfe-09f1-4510-9cfb-5cb66c426705,Clothing,0.32,Other,0.744395,429.37,1589,c597c254-dbb9-4e0c-81c9-10394ebe3ab1,Supermarket,2013,Small,Urban
b54cf14d-e780-4d80-b294-60afb148f809,Electronics,6.8,Other,0.37423,361.68,723,ffe8e282-ca1f-4188-85cb-023f9439d1ff,Fashion Store,2013,Medium,Rural
603051b8-5453-4c41-b47a-b6c18ccc2e33,Appliances,7.14,Other,0.585671,404.29,8589,667838cf-27b5-4077-98a6-552cc104f400,Online,2003,Small,Rural
a3c66070-d754-4cf4-a3b4-7e3ce936d79f,Appliances,7.14,Other,0.545827,465.42,363,c070ff13-e2e1-4cb6-b96b-56f234a236bf,Fashion Store,1995,Large,Rural
1b1876e0-2ba9-4945-b039-e4fa44ced387,Clothing,0.32,Other,0.779155,366.04,4347,52a6b22d-5f15-4ab4-8368-eeff627e9d0c,Fashion Store,1995,Small,Urban
7a0d4c04-93a6-4843-8d94-1d2a8ac26b2e,Clothing,0.32,Other,0.02512,357.0,4666,338720d4-6ee0-42ad-b053-c0dde3948f48,Fashion Store,2003,Small,Urban
7e2d42dd-c753-4e5e-8c53-189f0fe7ebe4,Appliances,7.14,Other,0.059643,304.51,7301,b38ee779-3aec-4884-b23f-5fb7c66c1244,Electronics Store,2005,Small,Urban
