Item_Identifier,Item_Type,Item_MRP,Sales,Outlet_Identifier,Outlet_Type,Outlet_Establishment_Year
c491822d-568d-4d24-a16e-d8f953489e4c,Clothing,329.39,1309,a0a693b0-a57f-4add-864c-6b62c61be866,Fashion Store,1996
e51cb4c4-134e-4ee1-b64e-206ba43c0bd7,Food,185.3,9355,87800b3b-bff4-4ebb-97e4-4251066a34ac,Fashion Store,2003
ed27bccd-0c3e-4c2f-967d-df830f7ca216,Appliances,276.56,5115,383cee2a-76eb-4f41-ab72-e0abb65dcc7a,Electronics Store,2018
58b17831-af08-4b01-97b5-c0a8ca9e8409,Appliances,204.45,5220,8a566a82-8991-4350-a8b1-bd6c54b7159b,Online,1992
9fcc0a88-e08f-4079-b01c-f21f52a0c740,Food,226.34,575,8670b324-bca6-4571-b967-fa381cb5fc5a,Supermarket,2017
5c54f48d-ee99-4666-b6af-3d166ca4b043,Food,437.12,6983,c6cb2719-e8ff-4aae-a1ea-d10822bec06e,Online,2007
9ebf25ee-b40a-4fd7-9d47-eb7f7ce95edf,Clothing,167.08,8320,030eb21b-edfd-49bb-b6cf-813d5585c7bb,Online,1992
b2111685-bc0c-4b7e-9aba-d55ee6992c33,Electronics,354.4,6329,f6c47f52-f686-43bd-bfca-38b4ecdf710a,Fashion Store,2009
8015a2b5-1515-4d3a-9c00-03302e0c5cc0,Electronics,374.16,4665,5bebef9e-8dcd-4ada-b891-4a966e0da4bb,Supermarket,2016
1605d5e2-ded8-4ad6-94e1-f36f2110b676,Electronics,226.41,7939,2cbb1387-b8fd-472d-890a-8c3961d210c3,Online,1994
81e89b42-bf21-4c52-b65d-548465a15cf4,Appliances,275.81,6016,192486ae-a7ba-4f13-a481-bd69da5ec710,Online,2017
9843f120-a07a-497f-b046-bcea32c98d16,Food,274.88,9074,544bc977-a854-499c-9b97-33f7ba9f5a00,Electronics Store,2010
08549847-89a2-4217-b177-c57ee9f5dd26,Appliances,224.1,1678,c55d8c78-1945-46fb-8f51-3b30a7f27767,Supermarket,2001
b00a5d79-c491-4079-8c99-37102a64aaee,Clothing,285.39,6044,2e6aa684-bec7-400a-9d2a-971284555f69,Electronics Store,1991
dc800d67-f63f-4278-8e2f-d64c2614402e,Electronics,418.22,2962,6ecf8974-9a78-4e7c-a325-bc0cdc984f62,Electronics Store,2010
ad18fe47-f459-4b80-94a0-b750bd403dc2,Electronics,268.21,8727,383bc74c-c585-4eac-ba54-adedd2278249,Electronics Store,1997
166f46d0-9db0-4297-baca-51b0f44f6c4c,Food,67.57,1203,06e2303f-521e-4a8d-a41d-2a52550ad647,Supermarket,2017
274755b0-83da-46ff-88cd-e0b16cdbe83a,Electronics,154.48,3479,3f671a97-1c42-4805-9ace-a821f8cc535e,Fashion Store,1994
effe4b25-ab10-4519-887c-7bd7b57e8d3d,Clothing,253.23,1119,ecd6239b-44ba-4893-b94b-47ced23e834e,Electronics Store,2006
200bd152-4459-4e3d-843e-dd81f8ab35d3,Food,365.79,3126,10bb7b38-da2c-4fc3-9377-f1d0f747b2cd,Fashion Store,2015
9048a773-0f78-438c-88c9-46492ddb038d,Food,171.09,8274,4f85d833-f0e4-4ab3-a898-9239e9cc4075,Electronics Store,2001
0f958b06-6637-4ea3-b99a-1c82bca537e0,Clothing,441.14,6079,f74f5753-2af6-4704-b2ed-8c953bf7b7f3,Supermarket,2005
7ecd9427-9260-4f7c-bf75-cd05b2b236b1,Food,268.59,5659,a767ffae-ce04-483b-b6f2-68b693089d40,Electronics Store,2001
9c5a4517-f5ac-4508-aa98-ecdf8f3f092e,Food,191.73,1517,3377f74f-4d99-44d1-9267-42a0d173ddbb,Fashion Store,1990
56ba50bf-97b0-45e8-9ce2-0c19321bcb76,Clothing,196.39,6525,2a171017-e312-4ab9-a4ce-8371328ea07d,Electronics Store,2001
5a66ef6d-d392-4d6b-b008-2dbb71a92741,Appliances,475.88,3192,d1622c10-0215-42d4-a976-12f946895a8f,Supermarket,2015
17b3d5f4-4c23-40b2-8d72-d355e6b8afc7,Electronics,202.86,5649,9ca87e80-c8d5-455f-a9e4-d43dfea9eae9,Online,2013
85c4ae3a-66a1-4747-b992-23444883c86d,Appliances,465.79,3898,73289990-46c6-496a-851a-9ade1249cf28,Supermarket,2001
030699dd-ae7f-4129-991b-23e72a9628a0,Electronics,482.74,5620,f39c1148-6318-4148-887e-581d945a8e4a,Online,2017
